 Product Name,No,category,collection,target market,Calculate on Weight,Dimensions(mm) x y z,description (80 word),Price < 25 QTY,Price >=25 QTY,discount cal,Document Link,Discount %,calc,Name on Store,Arabic Name,Available,Hidden,Colors,
Avian Bird Parrot Ladder Stairs,PTSTLS-1225-037,Pet Supplies - Bird Feeders & Toys,Avian Adventures,Bird Watchers & Owners,9,5.1 * 35 * 136.4,"Upgrade your garden or cage with the Avian Bird Parrot Ladder Stairs.


Expertly designed for Bird Watchers & Owners, this high-quality accessory provides a stimulating and safe environment for birds.


Its durable construction ensures longevity, making it a perfect fit for any outdoor or indoor space.


Dimensions: 5.1 * 35 * 136.4.


Easy to use and clean, it combines functionality with a sleek aesthetic.",0.675,0.54,20,https://drive.google.com/file/d/1mtntKUdf1Y10KbS_wYoEOPXBpGi067Pu/view?usp=drive_link,20% Discount,-0.675,Bird Parrot Ladder Stairs,سلم وتسلق للببغاوات والطيور,,,"Black,White,,Blue",
Avian Birdbath for birdcage _montana,PTSTLS-1225-038,Pet Supplies - Bird Feeders & Toys,Avian Adventures,Bird Watchers & Owners,178,210*210*40,"Upgrade your garden or cage with the Avian Birdbath for birdcage _montana_.


Expertly designed for Bird Watchers & Owners, this high-quality accessory provides a stimulating and safe environment for birds.


Its durable construction ensures longevity, making it a perfect fit for any outdoor or indoor space.


Dimensions: 210*210*40.


Easy to use and clean, it combines functionality with a sleek aesthetic.",7.12,7.12,0,https://drive.google.com/file/d/1ysk4uPknLre-1vBSJOXe7ujN8Hhug8vD/view?usp=drive_link,,7.12,Birdbath for birdcage _montana_,حوض استحمام لقفص الطيور (موديل مونتانا),,,"Black,White,,",
Interactive Cactus Cat Self Scratcher,PTSTLS-1225-039,Pet Supplies - Cat Toys & Furniture,Feline Fun & Comfort,Cat Owners,76,45*91*107,"Upgrade your home with the Interactive Cactus Cat Self Scratcher.


Expertly designed for Cat Owners, this high-quality accessory provides hours of entertainment and comfort for your feline friend.


Its durable construction ensures longevity, making it a perfect fit for any play area.


Dimensions: 45*91*107.


Easy to use and clean, it combines functionality with a sleek aesthetic.",3.8,3.8,0,https://drive.google.com/file/d/1rzBPXszKjIPUwIvWoHmtcYqhvxK5Sc8U/view?usp=drive_link,,3.8,Cactus Cat Self Scratcher,حكاكة صبار تفاعلية للقطط,,,"Black,White,,",
Interactive Cardboard cutter 5cm-2inch - cat sc,PTSTLS-1225-040,Pet Supplies - Cat Toys & Furniture,Feline Fun & Comfort,Cat Owners,32,80*60*50,"Upgrade your home with the Interactive Cardboard cutter 5cm-2inch - cat sc.


Expertly designed for Cat Owners, this high-quality accessory provides hours of entertainment and comfort for your feline friend.


Its durable construction ensures longevity, making it a perfect fit for any play area.


Dimensions: 80*60*50.


Easy to use and clean, it combines functionality with a sleek aesthetic.",2.4,1.92,20,https://drive.google.com/file/d/10veVaHsdwraA1ATyCEwnuVsnm8KX7QJc/view?usp=drive_link,20% Discount,-2.4,Cardboard cutter 5cm-2inch - cat sc,قاطع كرتون تفاعلي 5 سم - لخدش القطط,,,"Black,White,,",
Interactive Cat (or dog) repellent Mat,PTSTLS-1225-041,Pet Supplies - Cat Toys & Furniture,Feline Fun & Comfort,Cat Owners,28,195*200*21,"Upgrade your home with the Interactive Cat (or dog) repellent Mat.


Expertly designed for Cat Owners, this high-quality accessory provides hours of entertainment and comfort for your feline friend.


Its durable construction ensures longevity, making it a perfect fit for any play area.


Dimensions: 195*200*21.


Easy to use and clean, it combines functionality with a sleek aesthetic.",2.1,1.68,20,https://drive.google.com/file/d/1qU5cLgDUvwLn1Hw_ClvDpJUepCHQb5as/view?usp=drive_link,20% Discount,-2.1,Cat (or dog) repellent Mat,بساط طارد للقطط والكلاب,,,"Black,White,,Blue",
Interactive Cat Bat Wings,PTSTLS-1225-042,Pet Supplies - Cat Toys & Furniture,Feline Fun & Comfort,Cat Owners,49,230 * 30 * 150,"Upgrade your home with the Interactive Cat Bat Wings.


Expertly designed for Cat Owners, this high-quality accessory provides hours of entertainment and comfort for your feline friend.


Its durable construction ensures longevity, making it a perfect fit for any play area.


Dimensions: 230 * 30 * 150.


Easy to use and clean, it combines functionality with a sleek aesthetic.",2.94,2.45,16.66666667,https://drive.google.com/file/d/1p-kYU8xBYVO4uC1BfN0W48pggZZcB6-F/view?usp=drive_link,16.67% Discount,-1.96,Cat Bat Wings,أجنحة خفاش تفاعلية للقطط,,,"Black,",
Interactive Cat Bowl Stand,PTSTLS-1225-043,Pet Supplies - Cat Toys & Furniture,Feline Fun & Comfort,Cat Owners,74,162*162*155,"Upgrade your home with the Interactive Cat Bowl Stand.


Expertly designed for Cat Owners, this high-quality accessory provides hours of entertainment and comfort for your feline friend.


Its durable construction ensures longevity, making it a perfect fit for any play area.


Dimensions: 162*162*155.


Easy to use and clean, it combines functionality with a sleek aesthetic.",3.7,3.7,0,https://drive.google.com/file/d/1Qbflc6xPFZpEQLnU5vjPmiIPMNXjC5YE/view?usp=drive_link,,3.7,Cat Bowl Stand,حامل وعاء طعام القطط,,,"Black,",
Interactive Cat Helmet,PTSTLS-1225-044,Pet Supplies - Cat Toys & Furniture,Feline Fun & Comfort,Cat Owners,199,157.2 * 118 * 128.4,"Upgrade your home with the Interactive Cat Helmet.


Expertly designed for Cat Owners, this high-quality accessory provides hours of entertainment and comfort for your feline friend.


Its durable construction ensures longevity, making it a perfect fit for any play area.


Dimensions: 157.2 * 118 * 128.4.


Easy to use and clean, it combines functionality with a sleek aesthetic.",7.96,7.96,0,https://drive.google.com/file/d/1ClgFXDLHn9-APpVUqPwUiXAbmJ7fsCGF/view?usp=drive_link,,7.96,Cat Helmet,خوذة تفاعلية للقطط,,,"Black,",
Interactive cat house,PTSTLS-1225-045,Pet Supplies - Cat Toys & Furniture,Feline Fun & Comfort,Cat Owners,333,246.9 * 237.3 * 181.9,"Upgrade your home with the Interactive cat house çŒ«çª.


Expertly designed for Cat Owners, this high-quality accessory provides hours of entertainment and comfort for your feline friend.


Its durable construction ensures longevity, making it a perfect fit for any play area.


Dimensions: 246.9 * 237.3 * 181.9.


Easy to use and clean, it combines functionality with a sleek aesthetic.",13.32,13.32,0,https://drive.google.com/file/d/15GvCO0L3OrW8aprU0dHcXugJNWlfEI00/view?usp=drive_link,,13.32,cat house 猫窝,بيت قطط تفاعلي,,,"Black,White,,",
Interactive Cat litter mat with tray,PTSTLS-1225-046,Pet Supplies - Cat Toys & Furniture,Feline Fun & Comfort,Cat Owners,215,175*310*23,"Upgrade your home with the Interactive Cat litter mat with tray.


Expertly designed for Cat Owners, this high-quality accessory provides hours of entertainment and comfort for your feline friend.


Its durable construction ensures longevity, making it a perfect fit for any play area.


Dimensions: 175*310*23.


Easy to use and clean, it combines functionality with a sleek aesthetic.",8.6,8.6,0,https://drive.google.com/file/d/12ZtXj77NhjmaHxnU21sGuXZh_cIcwJ3C/view?usp=drive_link,,8.6,Cat litter mat with tray,بساط رمل القطط مع صينية,,,"Black,White,,",
Interactive CAT LITTER Modular tray,PTSTLS-1225-047,Pet Supplies - Cat Toys & Furniture,Feline Fun & Comfort,Cat Owners,381,465*465*5,"Upgrade your home with the Interactive CAT LITTER Modular tray.


Expertly designed for Cat Owners, this high-quality accessory provides hours of entertainment and comfort for your feline friend.


Its durable construction ensures longevity, making it a perfect fit for any play area.


Dimensions: 465*465*5.


Easy to use and clean, it combines functionality with a sleek aesthetic.",15.24,15.24,0,https://drive.google.com/file/d/1rOTS4EOj9117eeLox1G47gdUzVfkf-it/view?usp=drive_link,,15.24,CAT LITTER Modular tray,صينية رمل قطط تركيبية (موديولار),,,Black,
Interactive Cat Toy Activity Treat - Different levels,PTSTLS-1225-048,Pet Supplies - Cat Toys & Furniture,Feline Fun & Comfort,Cat Owners,90,180 * 100 * 27,"Upgrade your home with the Interactive Cat Toy Activity Treat - Different levels.


Expertly designed for Cat Owners, this high-quality accessory provides hours of entertainment and comfort for your feline friend.


Its durable construction ensures longevity, making it a perfect fit for any play area.


Dimensions: 180 * 100 * 27.


Easy to use and clean, it combines functionality with a sleek aesthetic.",4.5,4.5,0,https://drive.google.com/file/d/1haSHaj15HW_qJcW0IHh_YQC2R5Sqnnld/view?usp=drive_link,,4.5,Cat Toy Activity Treat - Different levels,لعبة مكافآت وأنشطة للقطط - مستويات مختلفة,,,Black,
Interactive Cat Track Toy for Ping Pong Balls,PTSTLS-1225-049,Pet Supplies - Cat Toys & Furniture,Feline Fun & Comfort,Cat Owners,133,190*190*53,"Upgrade your home with the Interactive Cat Track Toy for Ping Pong Balls.


Expertly designed for Cat Owners, this high-quality accessory provides hours of entertainment and comfort for your feline friend.


Its durable construction ensures longevity, making it a perfect fit for any play area.


Dimensions: 190*190*53.


Easy to use and clean, it combines functionality with a sleek aesthetic.",6.65,6.65,0,https://drive.google.com/file/d/10AP7fyKN7nzJx1qNPTMmeNBVn3GWLQQr/view?usp=drive_link,,6.65,Cat Track Toy for Ping Pong Balls,لعبة مسار كرات البينج بونج للقطط,,,"Black,White,,Blue",
Interactive Cat Treat Dispenser,PTSTLS-1225-050,Pet Supplies - Cat Toys & Furniture,Feline Fun & Comfort,Cat Owners,5,10*50*20,"Upgrade your home with the Interactive Cat Treat Dispenser.


Expertly designed for Cat Owners, this high-quality accessory provides hours of entertainment and comfort for your feline friend.


Its durable construction ensures longevity, making it a perfect fit for any play area.


Dimensions: 10*50*20.


Easy to use and clean, it combines functionality with a sleek aesthetic.",0.375,0.3,20,https://drive.google.com/file/d/19ESKff2rT3x1_-xbTVh8OFshMnbybMkk/view?usp=drive_link,20% Discount,-0.375,Cat Treat Dispenser,موزع مكافآت القطط التفاعلي,,,"White,,",
Cat  Spin & Snack,PTSTLS-1225-051,Pet Supplies - Cat Toys & Furniture,Feline Fun & Comfort,Cat Owners,168,180*140*160,"Upgrade your home with the Interactive Cat Treat Dispenser 2.


Expertly designed for Cat Owners, this high-quality accessory provides hours of entertainment and comfort for your feline friend.


Its durable construction ensures longevity, making it a perfect fit for any play area.


Dimensions: 180*140*160.


Easy to use and clean, it combines functionality with a sleek aesthetic.",6.72,6.72,0,https://drive.google.com/file/d/1u9KnR_wyDoW7cqPX9fgvnJdphcX6ckT8/view?usp=drive_link,,6.72,Cat Treat Dispenser 2,لعبة 'لف وتناول' للقطط,,,"White,,",
Interactive Cat Treats Spoon,PTSTLS-1225-052,Pet Supplies - Cat Toys & Furniture,Feline Fun & Comfort,Cat Owners,37,58*209*22,"Upgrade your home with the Interactive Cat Treats Spoon.


Expertly designed for Cat Owners, this high-quality accessory provides hours of entertainment and comfort for your feline friend.


Its durable construction ensures longevity, making it a perfect fit for any play area.


Dimensions: 58*209*22.


Easy to use and clean, it combines functionality with a sleek aesthetic.",2.22,1.85,16.66666667,https://drive.google.com/file/d/1AwsbAUa5oCm8Sw3VhXeZKteUoMhnkgXy/view?usp=drive_link,16.67% Discount,-1.48,Cat Treats Spoon,ملعقة مكافآت القطط,,,"Black & White,,",
Interactive catnip vase,PTSTLS-1225-053,Pet Supplies - Cat Toys & Furniture,Feline Fun & Comfort,Cat Owners,52,130*60*33,"Upgrade your home with the Interactive catnip vase.


Expertly designed for Cat Owners, this high-quality accessory provides hours of entertainment and comfort for your feline friend.


Its durable construction ensures longevity, making it a perfect fit for any play area.


Dimensions: 130*60*33.


Easy to use and clean, it combines functionality with a sleek aesthetic.",3.12,2.6,16.66666667,https://drive.google.com/file/d/1VR5Xauw9EJSzMkYuoVUR40k1GnHkr6WD/view?usp=drive_link,16.67% Discount,-2.08,catnip vase,فازة النعناع البري التفاعلية للقطط,,,Black & White,
Avian Classic Bird Feeder,PTSTLS-1225-054,Pet Supplies - Bird Feeders & Toys,Avian Adventures,Bird Watchers & Owners,141,120*120*251,"Upgrade your garden or cage with the Avian Classic Bird Feeder.


Expertly designed for Bird Watchers & Owners, this high-quality accessory provides a stimulating and safe environment for birds.


Its durable construction ensures longevity, making it a perfect fit for any outdoor or indoor space.


Dimensions: 120*120*251.


Easy to use and clean, it combines functionality with a sleek aesthetic.",7.05,7.05,0,https://drive.google.com/file/d/1C3ytNbhBDGwO0rQyWzXUPVAtbEc1sEJa/view?usp=drive_link,,7.05,Classic Bird Feeder,مغذية طيور كلاسيكية,,,Black,
"Aquatic Coral Safe Space for Fish Babies, or baby",PTSTLS-1225-055,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,14,112*102*108,"Upgrade your aquarium with the Aquatic Coral Safe Space for Fish Babies, or baby.


Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.


Its durable construction ensures longevity, making it a perfect fit for any aquascape.


Dimensions: 112*102*108.


Easy to use and clean, it combines functionality with a sleek aesthetic.",1.05,0.84,20,https://drive.google.com/file/d/1ew6QNWLpvu7QFu5PXdR-EjZNnpGrv_XG/view?usp=drive_link,20% Discount,-1.05,"Coral Safe Space for Fish Babies, or baby",مساحة مرجانية آمنة لصغار الأسماك,,,Black & White,
Aquatic Corner Aquatic Grotto,PTSTLS-1225-056,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,144,163.4 * 158.2 * 135.5,"Upgrade your aquarium with the Aquatic Corner Aquatic Grotto.


Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.


Its durable construction ensures longevity, making it a perfect fit for any aquascape.


Dimensions: 163.4 * 158.2 * 135.5.


Easy to use and clean, it combines functionality with a sleek aesthetic.",7.2,7.2,0,https://drive.google.com/file/d/1rMLciK6BRE5hlU6FfgZ0qnUy0rKnE2Wi/view?usp=drive_link,,7.2,Corner Aquatic Grotto,مغارة مائية للزاوية,,,"Black,White",
Practical Customizable Pet Bed,PTSTLS-1225-057,Pet Supplies - Feeding & Bedding,Pet Care Essentials,Pet Owners,1101,400 * 400 * 300,"Upgrade your home with the Practical Customizable Pet Bed.


Expertly designed for Pet Owners, this high-quality accessory provides a convenient and hygienic solution for your pet.


Its durable construction ensures longevity, making it a perfect fit for any feeding station.


Dimensions: 400 * 400 * 300.


Easy to use and clean, it combines functionality with a sleek aesthetic.",44.04,44.04,0,https://drive.google.com/file/d/1gbWaIkxSmRCZcYa-9qmheIwi3UACKo1b/view?usp=drive_link,,44.04,Customizable Pet Bed,سرير حيوانات أليفة عملي قابل للتخصيص,,,Black,
